Nr;Data i czas;PRZEWODNOSC N1 [uS/cm] (13);TEMPERATURA [°C] (14);PRZEWODNOSC N2 [uS/cm] (15);PRZEWODNOSC N3 [uS/cm] (16)
1176;2023-06-12 14:34:47,1;285,0543;109,1437;287,5443;307,4056
1177;2023-06-12 14:34:47,6;285,1095;109,2;287,3059;307,8108
1178;2023-06-12 14:34:48,1;285,0603;109,175;287,6137;308,6081
1179;2023-06-12 14:34:48,6;285,1815;109,1125;287,7605;309,1779
1180;2023-06-12 14:34:49,1;285,491;109,125;287,527;308,9873
1181;2023-06-12 14:34:49,6;284,9456;109,2;287,8055;309,5193
1182;2023-06-12 14:34:50,1;284,9912;109,1625;287,7461;309,4871
1183;2023-06-12 14:34:50,6;284,9095;109,1625;288,0136;308,7502
1184;2023-06-12 14:34:51,1;284,9838;109,1187;287,675;307,941
1185;2023-06-12 14:34:51,6;285,1785;109,1563;287,6008;306,9293
1186;2023-06-12 14:34:52,1;285,0784;109,1938;287,2019;307,0004
1187;2023-06-12 14:34:52,6;284,8169;109,1563;287,3224;307,9347
1188;2023-06-12 14:34:53,1;284,6953;109,1125;287,3582;308,3015
1189;2023-06-12 14:34:53,6;284,6453;109,1313;287,7974;307,6411
1190;2023-06-12 14:34:54,1;284,309;109,1938;287,5781;306,5058
1191;2023-06-12 14:34:54,6;284,3586;109,1625;287,7183;306,7588
1192;2023-06-12 14:34:55,1;284,4975;109,1187;287,5383;307,7765
1193;2023-06-12 14:34:55,6;284,4945;109,1563;288,1242;307,9074
1194;2023-06-12 14:34:56,1;284,6152;109,2;287,8979;308,0756
1195;2023-06-12 14:34:56,6;285,124;109,2;287,7853;308,5842
1196;2023-06-12 14:34:57,1;285,1691;109,1625;287,9967;308,6532
1197;2023-06-12 14:34:57,6;285,163;109,1125;287,6368;308,8453
1198;2023-06-12 14:34:58,1;285,1797;109,1563;287,3848;309,1687
1199;2023-06-12 14:34:58,6;285,0784;109,2;287,2752;307,6222
1200;2023-06-12 14:34:59,1;284,9996;109,1563;287,0229;306,6374
1201;2023-06-12 14:34:59,6;284,8764;109,1125;286,4842;306,5851
1202;2023-06-12 14:35:00,1;284,8827;109,15;286,5315;307,0791
1203;2023-06-12 14:35:00,6;284,6125;109,1938;286,4244;307,9487
1204;2023-06-12 14:35:01,1;284,5665;109,1437;286,8254;308,4515
1205;2023-06-12 14:35:01,6;284,2966;109,1187;286,6872;308,6189
1206;2023-06-12 14:35:02,1;284,3115;109,1687;287,712;309,1296
1207;2023-06-12 14:35:02,6;284,5718;109,1625;287,8814;309,3616
1208;2023-06-12 14:35:03,1;284,9232;109,1938;287,7021;309,346
1209;2023-06-12 14:35:03,6;284,9519;109,1437;287,483;309,8297
1210;2023-06-12 14:35:04,1;284,7741;109,1187;287,7876;309,804
1211;2023-06-12 14:35:04,6;285,014;109,1938;287,4919;309,8836
1212;2023-06-12 14:35:05,1;284,7396;109,1687;287,6017;309,4426
1213;2023-06-12 14:35:05,6;284,8494;109,1125;287,2936;309,9368
1214;2023-06-12 14:35:06,1;285,2578;109,1687;286,9902;310,3114
1215;2023-06-12 14:35:06,6;284,9119;109,1875;285,6256;310,3325
1216;2023-06-12 14:35:07,1;285,0337;109,125;284,1799;310,0174
1217;2023-06-12 14:35:07,6;285,1487;109,1437;284,5537;309,977
1218;2023-06-12 14:35:08,1;284,9355;109,1563;284,9394;309,8876
1219;2023-06-12 14:35:08,6;285,0428;109,1938;285,6056;309,82
1220;2023-06-12 14:35:09,1;285,0348;109,1313;285,5768;310,0804
1221;2023-06-12 14:35:09,6;285,2058;109,1187;286,0195;309,8931
1222;2023-06-12 14:35:10,1;285,2725;109,2188;285,8192;309,7335
1223;2023-06-12 14:35:10,6;285,4438;109,1687;286,0177;310,0301
1224;2023-06-12 14:35:11,1;285,4779;109,1063;285,7617;309,0458
1225;2023-06-12 14:35:11,6;285,5837;109,1625;285,989;308,0732
1226;2023-06-12 14:35:12,1;285,0188;109,1938;285,8957;307,1225
1227;2023-06-12 14:35:12,6;285,1177;109,1375;286,2204;306,9705
1228;2023-06-12 14:35:13,1;285,0749;109,1125;286,0387;307,2655
1229;2023-06-12 14:35:13,6;285,3026;109,1938;286,568;308,1208
1230;2023-06-12 14:35:14,1;285,1702;109,2;286,3753;308,8411
1231;2023-06-12 14:35:14,6;285,6533;109,1875;286,7216;309,0654
1232;2023-06-12 14:35:15,1;285,4885;109,1313;286,8563;308,8819
1233;2023-06-12 14:35:15,6;284,94;109,1187;287,0236;309,0127
1234;2023-06-12 14:35:16,1;284,9616;109,2;286,8469;309,0473
1235;2023-06-12 14:35:16,6;284,9904;109,1687;286,8724;309,4161
1236;2023-06-12 14:35:17,1;284,9046;109,125;286,6722;309,4277
1237;2023-06-12 14:35:17,6;285,5751;109,125;287,0569;309,3312
1238;2023-06-12 14:35:18,1;285,5398;109,1938;287,0898;309,5965
1239;2023-06-12 14:35:18,6;285,6905;109,175;287,1665;309,7028
1240;2023-06-12 14:35:19,1;285,8959;109,1125;287,0934;309,7501
1241;2023-06-12 14:35:19,6;285,6211;109,1063;287,0591;310,0527
1242;2023-06-12 14:35:20,1;285,4174;109,1938;286,7655;310,0802
1243;2023-06-12 14:35:20,6;285,4587;109,1875;285,5549;309,9657
1244;2023-06-12 14:35:21,1;285,487;109,1063;284,3673;310,0473
1245;2023-06-12 14:35:21,6;285,2838;109,1437;285,0479;309,8792
1246;2023-06-12 14:35:22,1;285,2948;109,1938;285,6818;310,3511
1247;2023-06-12 14:35:22,6;285,934;109,175;286,0124;309,7071
1248;2023-06-12 14:35:23,1;285,3979;109,1313;286,2868;310,0921
1249;2023-06-12 14:35:23,6;285,0838;109,1313;286,4319;309,9661
1250;2023-06-12 14:35:24,1;285,0263;109,2125;286,9066;309,4755
1251;2023-06-12 14:35:24,6;285,3045;109,1687;287,1576;309,3309
1252;2023-06-12 14:35:25,1;285,3114;109,1187;287,0776;310,2196
1253;2023-06-12 14:35:25,6;285,0408;109,1187;287,2867;310,074
1254;2023-06-12 14:35:26,1;284,8262;109,1437;287,6339;310,0139
1255;2023-06-12 14:35:26,6;284,844;109,2125;287,7724;310,2894
1256;2023-06-12 14:35:27,1;285,0629;109,1563;287,7137;310,0993
1257;2023-06-12 14:35:27,6;285,1918;109,125;287,6417;310,2514
1258;2023-06-12 14:35:28,1;284,9559;109,1187;287,6551;309,8563
1259;2023-06-12 14:35:28,6;284,9613;109,175;287,7291;310,3327
1260;2023-06-12 14:35:29,1;284,9947;109,2062;287,7297;309,1581
1261;2023-06-12 14:35:29,6;285,2522;109,1875;287,7328;307,6688
1262;2023-06-12 14:35:30,1;284,8941;109,1437;287,5891;306,8973
1263;2023-06-12 14:35:30,6;284,9672;109,1187;287,382;306,1792
1264;2023-06-12 14:35:31,1;285,0484;109,125;287,1992;305,7926
1265;2023-06-12 14:35:31,6;285,0198;109,1875;287,0311;305,1404
1266;2023-06-12 14:35:32,1;285,1044;109,1563;286,9697;305,0047
1267;2023-06-12 14:35:32,6;284,86;109,2062;287,2739;304,6251
1268;2023-06-12 14:35:33,1;284,9546;109,1938;287,2276;305,6267
1269;2023-06-12 14:35:33,6;284,894;109,1187;287,3649;306,7691
1270;2023-06-12 14:35:34,1;285,0082;109,125;287,3054;306,8838
1271;2023-06-12 14:35:34,6;285,0289;109,175;287,1635;307,4013
1272;2023-06-12 14:35:35,1;285,0325;109,2;287,4055;307,7965
1273;2023-06-12 14:35:35,6;285,3907;109,15;287,3431;308,239
1274;2023-06-12 14:35:36,1;285,284;109,1187;287,3595;308,0167
1275;2023-06-12 14:35:36,6;285,2312;109,1687;287,5478;309,3673
1276;2023-06-12 14:35:37,1;285,5211;109,2062;287,9643;309,3019
1277;2023-06-12 14:35:37,6;285,4697;109,1687;287,537;309,1582
1278;2023-06-12 14:35:38,1;285,3395;109,1687;287,215;308,9884
1279;2023-06-12 14:35:38,6;285,2599;109,1313;287,3015;309,3431
1280;2023-06-12 14:35:39,1;285,6692;109,125;287,4245;309,6653
1281;2023-06-12 14:35:39,6;285,2852;109,1938;287,4308;309,9198
1282;2023-06-12 14:35:40,1;285,1879;109,1875;287,4144;310,0705
1283;2023-06-12 14:35:40,6;285,2469;109,1437;287,6694;309,7655
1284;2023-06-12 14:35:41,1;285,1842;109,1125;287,5812;310,0624
1285;2023-06-12 14:35:41,6;284,9872;109,15;287,5605;310,0803
1286;2023-06-12 14:35:42,1;285,0252;109,2;287,3586;308,8107
1287;2023-06-12 14:35:42,6;285,1252;109,1687;287,4479;307,7285
1288;2023-06-12 14:35:43,1;284,7131;109,125;287,2626;307,5437
1289;2023-06-12 14:35:43,6;284,589;109,125;287,2802;306,715
1290;2023-06-12 14:35:44,1;284,6608;109,1187;287,3762;305,8629
1291;2023-06-12 14:35:44,6;284,7953;109,1875;287,4961;306,4609
1292;2023-06-12 14:35:45,1;284,7513;109,1938;287,4857;306,808
1293;2023-06-12 14:35:45,6;284,4615;109,15;287,5066;307,2946
1294;2023-06-12 14:35:46,1;285,0537;109,1187;287,5588;308,1773
1295;2023-06-12 14:35:46,6;285,1266;109,1375;287,435;308,0232
1296;2023-06-12 14:35:47,1;285,1094;109,1812;287,4312;307,959
1297;2023-06-12 14:35:47,6;285,2533;109,1938;287,194;307,0078
1298;2023-06-12 14:35:48,1;285,0621;109,1687;287,0705;306,6193
1299;2023-06-12 14:35:48,6;285,6126;109,1437;285,6192;306,0638
1300;2023-06-12 14:35:49,1;285,2351;109,1125;285,0529;305,2833
1301;2023-06-12 14:35:49,6;285,2115;109,1563;284,664;305,7344
1302;2023-06-12 14:35:50,1;285,2802;109,1938;285,3334;306,7946
1303;2023-06-12 14:35:50,6;285,2625;109,1812;285,6097;307,5601
1304;2023-06-12 14:35:51,1;285,3931;109,2;286,0386;308,0744
1305;2023-06-12 14:35:51,6;285,149;109,1563;286,262;308,8027
1306;2023-06-12 14:35:52,1;285,2985;109,1313;285,3581;309,1713
1307;2023-06-12 14:35:52,6;285,3347;109,1187;284,3009;309,1817
1308;2023-06-12 14:35:53,1;285,2835;109,1625;283,756;309,1997
1309;2023-06-12 14:35:53,6;285,3677;109,2062;284,3816;309,1785
1310;2023-06-12 14:35:54,1;285,5587;109,1812;284,7977;309,8954
1311;2023-06-12 14:35:54,6;285,4048;109,125;285,2511;310,388
1312;2023-06-12 14:35:55,1;285,4015;109,1063;285,6618;310,9123
1313;2023-06-12 14:35:55,6;285,1057;109,1563;285,937;310,2435
1314;2023-06-12 14:35:56,1;285,0628;109,2;286,2874;309,8445
1315;2023-06-12 14:35:56,6;284,9145;109,175;286,5685;309,6648
1316;2023-06-12 14:35:57,1;285,004;109,1687;286,6679;309,564
1317;2023-06-12 14:35:57,6;285,1007;109,1313;286,8755;309,4871
1318;2023-06-12 14:35:58,1;285,1121;109,1125;286,9184;309,5001
1319;2023-06-12 14:35:58,6;285,0249;109,1938;287,1883;309,3634
1320;2023-06-12 14:35:59,1;285,1253;109,2;287,6383;309,7199
1321;2023-06-12 14:35:59,6;285,5512;109,1375;287,6103;309,7756
